Set Number,Year of Release,Piece Count,US Retail Price,Avg Current Worth Sealed (1/28/26),PPP (Price Per Piece),Minifigures,,
7190,2000,663,$99.99 ,$632 ,$0.15 ,6,,"Sources: https://www.lego.com/en-us/themes/star-wars/history-of-lego-star-wars-millennium-falcon, brickeconomy.com"
4488,2003,87,$6.99 ,$49.80 ,$0.08 ,0,,
4504,2004,985,$99.99 ,$544 ,$0.10 ,5,,
10179,2007,5197,$499.99 ,"$2,352.00 ",$0.10 ,5,,
7778,2009,356,$39.99 ,$156 ,$0.11 ,0,,
7965,2011,1254,$139.99 ,$264.76 ,$0.11 ,6,,
75030,2014,94,$9.99 ,$27 ,$0.11 ,1,,
75105,2015,1329,$149.99 ,$173.76 ,$0.11 ,7,,
75192,2017,7541,$849.99 ,$849.99 ,$0.11 ,8,,
75212,2018,1414,$169.99 ,$294.31 ,$0.12 ,7,,
75257,2019,1351,$169.99 ,$189.71 ,$0.13 ,7,,
75295,2021,101,$9.99 ,$15.29 ,$0.10 ,1,,
75375,2024,921,$84.99 ,$71.22 ,$0.09 ,0,,
75389,2024,1579,$179.99 ,$148.94 ,$0.11 ,6,,
75426,2026,885,$99.99 ,$99.99 ,$0.11 ,4,,
